id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
heart_001,heart_disease,coronary_heart_disease,overview,definition,definition,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,Coronary heart disease happens when plaque narrows the heart's arteries and reduces the flow of oxygen-rich blood to the heart muscle.
heart_002,heart_disease,coronary_heart_disease,overview,prevention,explanation,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,For many people coronary heart disease can be prevented or slowed with a heart-healthy lifestyle and medicines.
heart_003,heart_disease,coronary_heart_disease,symptoms,silent_disease,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Coronary heart disease may stay silent until it causes a heart attack or another complication.
heart_004,heart_disease,coronary_heart_disease,symptoms,symptoms,explanation,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,As plaque builds up you may notice chest pain shortness of breath or neck pain during activity and the symptoms may improve with rest.
heart_005,heart_disease,coronary_heart_disease,diagnosis,diagnosis,faq,patient,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,Doctors diagnose coronary heart disease using symptoms medical and family history risk factors and heart tests.
heart_006,heart_disease,coronary_heart_disease,risk_factors,risk_factors,explanation,patient,"Coronary Heart Disease - Risk Factors | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/risk-factors,Smoking high blood pressure high LDL cholesterol diabetes obesity and poor sleep can all raise the risk of coronary heart disease.
heart_007,heart_disease,heart_attack,emergency,warning_signs,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Heart attack pain may feel like pressure squeezing tightness or burning and it can spread to the shoulders arms neck jaw or back.
heart_008,heart_disease,heart_attack,emergency,warning_signs,explanation,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Cold sweats dizziness nausea shortness of breath and weakness can also happen during a heart attack.
heart_009,heart_disease,heart_attack,emergency,sex_specific_symptoms,warning,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,Women are less likely than men to report classic chest pain during a heart attack and may instead notice dizziness extreme tiredness nausea or stomach pain.
heart_010,heart_disease,heart_attack,emergency,urgent_action,instruction,patient,"Coronary Heart Disease - Symptoms | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,If you cannot tell whether chest pain is a heart attack call 9-1-1 right away.
