id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
cancer_001,cancer,brachytherapy,overview,definition,definition,patient,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,Brachytherapy places a radiation source inside or near the cancer through a catheter or applicator.
cancer_002,cancer,brachytherapy,prep,procedure_prep,instruction,patient,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,Before brachytherapy begins you may have a planning visit with a physical exam medical history review and imaging tests.
cancer_003,cancer,brachytherapy,treatment,procedure_step,explanation,patient,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,Once the catheter or applicator is in place the radiation source is inserted for the planned treatment time.
cancer_004,cancer,brachytherapy,treatment,treatment_overview,faq,patient,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,Low-dose-rate brachytherapy may stay in place for 1 to 7 days while high-dose-rate treatment is usually given for 10 to 20 minutes at a time.
cancer_005,cancer,brachytherapy,aftercare,aftercare,warning,patient,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,After LDR or HDR treatment the treated area may stay tender for a while even though no radiation remains in your body after the catheter is removed.
cancer_006,cancer,chemotherapy,overview,definition,definition,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,Chemotherapy uses drugs to kill cancer cells or stop them from growing.
cancer_007,cancer,chemotherapy,treatment,treatment_goal,explanation,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,Chemotherapy may be used before surgery or radiation to shrink a tumor.
cancer_008,cancer,chemotherapy,treatment,treatment_goal,explanation,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,Chemotherapy may also be used after surgery or radiation to destroy cancer cells that remain.
cancer_009,cancer,chemotherapy,side_effects,side_effects,warning,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,"Chemotherapy can damage fast-growing healthy cells too, so side effects may include mouth sores nausea hair loss and fatigue."
cancer_010,cancer,chemotherapy,aftercare,self_care,instruction,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,If chemotherapy leaves you very tired plan time to rest and ask for help with meals or rides.
cancer_011,cancer,chemotherapy,treatment,delivery_methods,faq,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,Chemotherapy may be given by mouth through a vein by injection into the skin or muscle or by other specialized routes.
cancer_012,cancer,chemotherapy,treatment,delivery_methods,explanation,patient,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,IV chemotherapy is often delivered through a thin needle in a vein and sometimes through a catheter or port.
