id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
eye_001,eye,cataracts,overview,definition,definition,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,A cataract is a cloudy area in the lens of the eye that can make vision blurry hazy or less colorful.
eye_002,eye,cataracts,symptoms,symptoms,explanation,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,Cataracts may start without obvious symptoms but over time they can interfere with reading night vision and other daily activities.
eye_003,eye,cataracts,treatment,treatment_overview,faq,patient,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,Cataract surgery is a common and generally safe operation that can correct vision problems caused by cataracts.
eye_004,eye,cataracts,risk_factors,risk_factors,explanation,patient,Causes of Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts/causes-cataracts,Diabetes smoking heavy alcohol use long sun exposure steroids and past eye injury or surgery can raise the risk of cataracts.
eye_005,eye,glaucoma,overview,silent_disease,warning,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Glaucoma usually has no symptoms at first so many people do not know they have it.
eye_006,eye,glaucoma,symptoms,symptoms,explanation,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Over time glaucoma often causes slow loss of side vision before central vision is affected.
eye_007,eye,glaucoma,emergency,emergency_warning,warning,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Get urgent help for sudden intense eye pain red eye blurry vision or nausea because angle-closure glaucoma is an emergency.
eye_008,eye,glaucoma,diagnosis,screening,instruction,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,If you are at higher risk for glaucoma ask how often you need a comprehensive dilated eye exam.
eye_009,eye,glaucoma,treatment,treatment_overview,faq,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Glaucoma treatment may include prescription eye drops laser therapy or surgery to lower eye pressure.
eye_010,eye,glaucoma,treatment,treatment_limitations,counseling,patient,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,Treatment cannot reverse vision already lost from glaucoma but it can help stop the damage from getting worse.
eye_011,eye,dry_eye,overview,definition,definition,patient,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,Dry eye happens when the eyes do not make enough tears or when the tears do not work well enough.
