id,domain,micro_topic,page_type,fact_bucket,sentence_function,audience,source_title,source_url,source_supported_en
diabetes_001,diabetes,diabetes_overview,overview,definition,definition,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Diabetes occurs when blood glucose also called blood sugar is too high.
diabetes_002,diabetes,diabetes_overview,overview,types,faq,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,The main types of diabetes are type 1 type 2 and gestational diabetes.
diabetes_003,diabetes,diabetes_overview,symptoms,symptoms,explanation,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Common diabetes symptoms include increased thirst frequent urination tiredness unexplained weight loss and blurred vision.
diabetes_004,diabetes,diabetes_overview,symptoms,silent_disease,warning,patient,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,Some people with diabetes have no symptoms and may not realize they have the disease.
diabetes_005,diabetes,diabetes_management,management,care_plan,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,A diabetes care plan should combine healthy habits medicines and blood glucose management in a way that works for you.
diabetes_006,diabetes,diabetes_management,management,abcs,faq,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,The diabetes ABCs focus on A1C blood pressure and cholesterol and quitting smoking is also important.
diabetes_007,diabetes,diabetes_management,management,benefits,explanation,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,Managing your diabetes well can lower the risk of heart attack stroke kidney disease blindness and amputations.
diabetes_008,diabetes,diabetes_management,management,team_care,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,You are the most important member of your diabetes health care team.
diabetes_009,diabetes,healthy_living,lifestyle,meal_plan,explanation,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,What you eat how much you eat and when you eat are all important parts of a diabetes meal plan.
diabetes_010,diabetes,healthy_living,lifestyle,prevention,counseling,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,Healthy living can help keep blood glucose blood pressure and cholesterol in range and may delay complications that affect the heart kidneys eyes and brain.
diabetes_011,diabetes,healthy_living,lifestyle,weight_management,faq,patient,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,If you have overweight or obesity losing 5% to 7% of your current weight may help improve blood glucose blood pressure and cholesterol.
diabetes_012,diabetes,a1c_test,diagnosis,test_meaning,faq,patient,The A1C Test & Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diagnostic-tests/a1c-test,The A1C test shows your average blood glucose level over the past 3 months.
diabetes_013,diabetes,a1c_test,diagnosis,thresholds,definition,patient,Diabetes & Prediabetes Tests - NIDDK,https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/diabetes/diabetes-prediabetes,An A1C of 5.7% to 6.4% is used for prediabetes screening and diagnosis.
diabetes_014,diabetes,a1c_test,diagnosis,thresholds,definition,patient,Diabetes & Prediabetes Tests - NIDDK,https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/diabetes/diabetes-prediabetes,An A1C of 6.5% or higher can support a diagnosis of type 2 diabetes and usually needs repeat confirmation.
diabetes_015,diabetes,a1c_test,management,goals,counseling,patient,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,For many people with diabetes the A1C goal is below 7% but personal goals can differ.
diabetes_016,diabetes,hypoglycemia,emergency,risk,warning,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Low blood glucose is common in people with type 1 diabetes and in many people with type 2 diabetes who use insulin or certain diabetes medicines.
diabetes_017,diabetes,hypoglycemia,symptoms,symptoms,explanation,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Hypoglycemia can make you feel shaky hungry tired dizzy confused irritable or as if your heart is beating too fast.
diabetes_018,diabetes,hypoglycemia,emergency,severe_warning,warning,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Very low blood glucose can cause seizures or loss of consciousness and needs treatment right away.
diabetes_019,diabetes,hypoglycemia,emergency,treatment,instruction,patient,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,Keep a glucagon kit available for severe hypoglycemia and consider wearing medical alert identification.
diabetes_020,diabetes,diabetic_kidney_disease,complications,silent_complication,warning,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Diabetic kidney disease often has no symptoms so testing is the only way to know if it is present.
diabetes_021,diabetes,diabetic_kidney_disease,diagnosis,testing,instruction,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,People with type 2 diabetes and people with type 1 diabetes for more than 5 years should be tested every year for kidney disease.
diabetes_022,diabetes,diabetic_kidney_disease,complications,testing,faq,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Doctors use blood and urine tests to check for diabetic kidney disease.
diabetes_023,diabetes,diabetic_kidney_disease,prevention,prevention,counseling,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Reaching your blood glucose and blood pressure goals is one of the best ways to slow or prevent diabetes-related kidney disease.
diabetes_024,diabetes,diabetic_kidney_disease,prevention,lifestyle,instruction,patient,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,Stopping smoking limiting salt staying active and maintaining a healthy weight can help protect your kidneys.
