subdomain,source_title,source_url,reason
coronary_heart_disease,Coronary Artery Disease - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK564304/,"long-form clinical article closer to the brachytherapy readme style"
heart_failure,Heart Failure - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK430873/,"long-form clinical article closer to the brachytherapy readme style"
high_blood_pressure,Essential Hypertension - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK539859/,"long-form clinical article closer to the brachytherapy readme style"
diabetes,Diabetes - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK551501/,"long-form clinical article closer to the brachytherapy readme style"
chronic_kidney_disease,Chronic Kidney Disease - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK535404/,"long-form clinical article closer to the brachytherapy readme style"
asthma,Asthma - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK430901/,"long-form clinical article closer to the brachytherapy readme style"
stroke,Acute Stroke - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK535369/,"long-form clinical article closer to the brachytherapy readme style"
glaucoma,Open Angle Glaucoma - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK441887/,"long-form clinical article closer to the brachytherapy readme style"
cataracts,Cataract - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/n/statpearls/article-19005/,"long-form clinical article closer to the brachytherapy readme style"
chemotherapy,Cancer Chemotherapy - StatPearls - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK564367/,"long-form clinical article closer to the brachytherapy readme style"
