domain,micro_topic,page_type,source_title,source_url,why_use_it
cancer,brachytherapy,overview,Brachytherapy for Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/radiation-therapy/brachytherapy,procedure flow types safety aftercare
cancer,radiation_therapy,patient_guide,Radiation Therapy and You: Support for People With Cancer - NCI,https://www.cancer.gov/publications/patient-education/radiation-therapy-and-you,plain-language treatment side effects self-care questions
cancer,chemotherapy,overview,Chemotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/chemotherapy,how chemo works delivery methods side effects cycles
cancer,chemotherapy,patient_guide,Chemotherapy and You: Support for People With Cancer - NCI,https://www.cancer.gov/publications/patient-education/chemo-and-you,before during after treatment counseling language
cancer,cervical_cancer_treatment,treatment,Cervical Cancer Treatment - NCI,https://www.cancer.gov/types/cervical/treatment,stage-based treatment fertility radiation chemotherapy follow-up
cancer,cervical_cancer_screening,screening,Cervical Cancer Screening - NCI,https://www.cancer.gov/types/cervical/screening,screening tests intervals expectations
cancer,breast_cancer_treatment,treatment,Treatment for Breast Cancer - NCI,https://www.cancer.gov/types/breast/treatment,local versus systemic treatment options
cancer,prostate_cancer,treatment,Prostate Cancer Treatment - NCI,https://www.cancer.gov/types/prostate/patient/prostate-treatment-pdq,symptoms tests treatment options follow-up
cancer,palliative_care,supportive_care,Palliative Care in Cancer - NCI,https://www.cancer.gov/about-cancer/advanced-cancer/care-choices/palliative-care-fact-sheet,quality of life symptom relief caregiver support
cancer,pain_management,side_effects,Pain and Cancer Treatment - Side Effects - NCI,https://www.cancer.gov/about-cancer/treatment/side-effects/pain,pain control plans symptom reporting self-management
cancer,immunotherapy,overview,Immunotherapy to Treat Cancer - NCI,https://www.cancer.gov/about-cancer/treatment/types/immunotherapy,mechanism types delivery side effects
heart_disease,coronary_heart_disease,overview,Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-heart-disease,definition plaque prevention diagnosis treatment
heart_disease,coronary_heart_disease,symptoms,Coronary Heart Disease - Symptoms | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-heart-disease/symptoms,exertional symptoms silent disease emergency warning signs
heart_disease,coronary_heart_disease,risk_factors,Coronary Heart Disease - Risk Factors | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-heart-disease/risk-factors,lifestyle medical and demographic risk factors
heart_disease,coronary_heart_disease,treatment,Coronary Heart Disease - Treatment | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-heart-disease/treatment,lifestyle medicines procedures
heart_disease,heart_failure,overview,Heart Failure - What Is Heart Failure? | NHLBI, NIH,https://www.nhlbi.nih.gov/health/heart-failure,core disease explanation diagnosis basics
heart_disease,heart_failure,symptoms,Heart Failure - Symptoms | NHLBI, NIH,https://www.nhlbi.nih.gov/health/heart-failure/symptoms,left versus right sided symptoms complications
heart_disease,arrhythmia,overview,Arrhythmias - What Is an Arrhythmia? | NHLBI, NIH,https://www.nhlbi.nih.gov/health/arrhythmias,irregular heartbeat symptoms complications
heart_disease,arrhythmia,treatment,Arrhythmias - Treatment | NHLBI, NIH,https://www.nhlbi.nih.gov/health/arrhythmias/treatment,medicines cardioversion ablation pacemakers ICDs
heart_disease,bypass_surgery,overview,Coronary Artery Bypass Grafting - What Is Coronary Artery Bypass Grafting? | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting,procedure purpose graft basics
heart_disease,bypass_surgery,during,Coronary Artery Bypass Grafting - What to Expect During Surgery | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/during,operative steps perioperative preparation
heart_disease,bypass_surgery,recovery,Coronary Artery Bypass Grafting - Recovery from Surgery | NHLBI, NIH,https://www.nhlbi.nih.gov/health/coronary-artery-bypass-grafting/recovery,hospital recovery home care complications rehab
heart_disease,heart_attack,warning_signs,About Heart Attack | CDC,https://www.cdc.gov/heart-disease/about/heart-attack.html,plain-language emergency symptom phrasing
diabetes,diabetes_overview,overview,Diabetes Overview - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview,definitions types symptoms risk factors
diabetes,diabetes_management,management,Managing Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,ABCs self-management team-based care
diabetes,healthy_living,lifestyle,Healthy Living with Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,lifestyle meal planning activity weight sleep
diabetes,a1c_test,diagnosis,The A1C Test & Diabetes - NIDDK,https://www.niddk.nih.gov/health-information/diagnostic-tests/a1c-test,what A1C means diagnosis monitoring
diabetes,diabetes_tests,diagnosis,Diabetes & Prediabetes Tests - NIDDK,https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/diabetes/diabetes-prediabetes,thresholds comparison of diagnostic tests
diabetes,hypoglycemia,emergency,Low Blood Glucose (Hypoglycemia) - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/low-blood-glucose-hypoglycemia,fast symptom onset emergency treatment prevention
diabetes,diabetic_kidney_disease,complications,Diabetic Kidney Disease - NIDDK,https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/diabetic-kidney-disease,silent complication testing prevention
eye,cataracts,overview,Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts,definition symptoms diagnosis treatment
eye,cataracts,causes,Causes of Cataracts | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/cataracts/causes-cataracts,risk factors mechanism prevention language
eye,cataracts,surgery,Cataract Surgery | National Eye Institute,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/cataracts/cataract-surgery,procedure expectations recovery
eye,glaucoma,overview,Glaucoma | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/glaucoma,silent progression risk urgent symptoms treatment
eye,dry_eye,overview,Dry Eye | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/dry-eye,symptoms causes eye drops lifestyle changes
eye,diabetic_retinopathy,overview,Diabetic Retinopathy | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/diabetic-retinopathy,diabetes-related vision loss prevention treatment
eye,dilated_eye_exam,prevention,Get a Dilated Eye Exam | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-dilated-eye-exam,screening preparation exam steps follow-up
eye,healthy_vision,prevention,Healthy Vision | National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision,basic vision protection and eye-health habits
eye,amd,overview,Age-Related Macular Degeneration (AMD) | National Eye Institute,https://www.nei.nih.gov/eye-health-information/eye-conditions-and-diseases/age-related-macular-degeneration,central vision loss symptoms risk screening
