domain,topic_group,target_pairs,notes
cancer,disease_overview_and_core_terms,30,"cancer basics, tumor, benign vs malignant, staging, radiation, surgery, chemotherapy"
cancer,symptoms_and_red_flags,35,"bleeding, pain, lumps, weight loss, fatigue, obstruction, discharge, fever"
cancer,diagnosis_and_staging,35,"biopsy, imaging, pathology, stage, grade, spread, follow-up scans"
cancer,treatment_types_and_goals,45,"curative vs palliative, surgery, radiation, chemotherapy, targeted therapy, immunotherapy"
cancer,procedure_prep,30,"fasting, consent, anesthesia, imaging, blood tests, medication review"
cancer,side_effects_and_aftercare,40,"pain, swelling, bleeding, infection signs, hygiene, rest, recovery"
cancer,medicines_and_supportive_care,25,"pain control, anti-nausea medicines, hydration, nutrition support"
cancer,follow_up_and_recurrence_monitoring,30,"clinic review, symptom monitoring, scans, lab follow-up"
cancer,patient_counseling_and_lifestyle,35,"smoking, exercise, nutrition, emotional support, fertility concerns"
cancer,emergency_instructions,35,"heavy bleeding, breathing trouble, high fever, uncontrolled pain"
heart_disease,heart_basics_and_blood_flow,25,"heart structure, valves, circulation, oxygen-rich blood"
heart_disease,coronary_artery_disease,35,"plaque buildup, chest pain, reduced blood flow, heart attack risk"
heart_disease,risk_factors_and_prevention,35,"high blood pressure, cholesterol, smoking, diabetes, activity"
heart_disease,heart_attack_symptoms_and_response,40,"chest pain, arm pain, jaw pain, sweating, emergency care"
heart_disease,heart_failure_basics,35,"fluid buildup, swelling, fatigue, breathing difficulty"
heart_disease,tests_and_diagnosis,35,"ECG, echocardiogram, stress test, blood tests, angiography"
heart_disease,medicines_and_procedures,40,"aspirin, statins, blood pressure medicines, stents, bypass"
heart_disease,lifestyle_and_rehabilitation,35,"diet, salt restriction, exercise, smoking cessation, rehab"
heart_disease,self_monitoring_and_follow_up,30,"blood pressure logs, weight checks, symptom diaries"
heart_disease,emergency_and_when_to_seek_help,30,"severe chest pain, fainting, sudden shortness of breath"
diabetes,diabetes_basics_and_types,30,"type 1, type 2, gestational diabetes, high blood glucose"
diabetes,symptoms_and_diagnosis,35,"thirst, urination, tiredness, weight loss, A1C, fasting glucose"
diabetes,risk_factors_and_prevention,30,"weight, inactivity, family history, pregnancy history"
diabetes,glucose_monitoring,35,"glucometer use, continuous monitors, target ranges, logs"
diabetes,food_and_exercise,40,"meal timing, portion control, carbohydrates, physical activity"
diabetes,medicines_and_insulin,40,"tablets, insulin timing, injection basics, adherence"
diabetes,hypoglycemia_and_hyperglycemia,35,"warning signs, immediate response, when to seek help"
diabetes,long_term_complications,35,"heart, kidney, nerve, foot, eye complications"
diabetes,foot_eye_and_kidney_care,30,"daily foot checks, eye exams, kidney monitoring"
diabetes,pregnancy_sick_day_and_follow_up,30,"gestational diabetes, illness management, regular review"
eye,eye_basics_and_vision_terms,25,"cornea, retina, lens, optic nerve, normal vision"
eye,cataract,35,"cloudy lens, blurred vision, glare, surgery basics"
eye,glaucoma,35,"optic nerve damage, eye pressure, silent vision loss, drops"
eye,retina_and_macular_conditions,35,"diabetic retinopathy, macular degeneration, floaters, central vision"
eye,red_eye_infection_and_allergy,30,"itching, discharge, conjunctivitis, hygiene"
eye,dry_eye_and_refractive_issues,30,"dryness, irritation, glasses, contact lens care"
eye,eye_tests_and_eye_drops,35,"vision check, dilation, tonometry, drop instructions"
eye,surgery_prep_and_aftercare,40,"fasting, consent, patch care, infection signs, follow-up"
eye,vision_protection_and_prevention,35,"UV protection, diabetes control, injury prevention"
eye,emergency_warning_signs,40,"sudden vision loss, severe eye pain, flashes, chemical injury"
