file,words,blocks,compared_to_brachytherapy_readme,status
readme,7270,1,100%,reference_target
data/source_extracted_subdomains/asthma.md,939,8,13%,too_small
data/source_extracted_subdomains/cataracts.md,871,6,12%,too_small
data/source_extracted_subdomains/chemotherapy.md,771,8,11%,too_small
data/source_extracted_subdomains/chronic_kidney_disease.md,758,6,10%,too_small
data/source_extracted_subdomains/coronary_heart_disease.md,964,6,13%,too_small
data/source_extracted_subdomains/diabetes.md,996,8,14%,too_small
data/source_extracted_subdomains/glaucoma.md,655,7,9%,too_small
data/source_extracted_subdomains/heart_failure.md,1018,6,14%,too_small
data/source_extracted_subdomains/high_blood_pressure.md,913,6,13%,too_small
data/source_extracted_subdomains/stroke.md,549,5,8%,too_small
